STOP_NAME,LATITUDE,LONGITUDE
안락동우체국.동해선안락역,35.19693731,129.1021385
안락동우체국.동해선안락역,35.19724267,129.0999503
안락동우체국.동해선안락역,35.19697939,129.1012723
동부산아이존빌아파트,35.19203014,129.1054871
안락경동아파트,35.19130678,129.106746
동부산아이존빌아파트,35.19229152,129.1049559
안락경동아파트,35.19160416,129.1062027
강변뜨란채입구,35.19356124,129.1019017
월마트,35.19313706,129.1031775
강변뜨란채아파트,35.19548336,129.1027821
월마트,35.192971,129.1030647
강변뜨란채아파트,35.19384964,129.100952
한성기린아파트,35.19399013,129.1000716
동래봉생병원,35.19748083,129.0953916
동래봉생병원,35.19713327,129.0954266
우성아파트,35.19495525,129.0929271
우성아파트,35.19494016,129.0924886
낙민유앤아이아파트,35.19468134,129.0914044
강변뜨란채아파트,35.1936449,129.1007095
강변뜨란채아파트,35.19360355,129.1009143
한성기린아파트,35.19389168,129.099378
안진초등학교,35.19335608,129.0985965
벽산한신아파트,35.19432011,129.0980336
안민초등학교,35.19448268,129.0941321
중앙하이츠아파트,35.19443479,129.0960559
안락교차로,35.19759833,129.0978867
온천장,35.21827602,129.0824119
온천예식장,35.21816623,129.0823879
명장조양맨션(명장역),35.20601547,129.1020878
명장1치안센터,35.20545826,129.1030304
명장조양맨션(명장역),35.20599099,129.1028188
명장1동행정복지센터,35.20475223,129.105196
명장시장,35.20453034,129.1077375
명장1동새마을금고,35.20477284,129.1050136
명장시장,35.20459157,129.1070084
명장1동행정복지센터,35.20427842,129.1044583
안락초등학교,35.20288867,129.1040275
진흥상가,35.1998237,129.1044616
명장1동주민센터,35.20418954,129.104429
부산은행,35.19990799,129.1044645
안락초등학교,35.20273248,129.1040648
명장1치안센터,35.20510217,129.1044102
충렬초등학교,35.20098911,129.1117568
혜화여고.충렬고,35.20186448,129.1111079
한우크로바아파트,35.19902722,129.1094863
한우크로바아파트,35.19901348,129.1096571
부산은행,35.19955344,129.1047019
안락병원,35.19934421,129.1078099
명장조양맨션(명장역),35.20462701,129.1011998
명장조양맨션(명장역),35.20442365,129.1014471
벽산한신아파트,35.19417049,129.0977829
안민초등학교,35.19432537,129.0937939
중앙하이츠아파트,35.1942485,129.0959819
낙민역.동래고등학교,35.19903191,129.0946251
삼익아파트정문,35.19970327,129.060565
국민시장,35.19888489,129.0599718
국민시장,35.19857844,129.0600491
삼익아파트,35.19962586,129.0594075
삼익아파트후문,35.19960201,129.0594993
사직사거리,35.1982567,129.0614709
금사자동차학원,35.2166018,129.1118072
금사공단.금사동탑마트,35.21889715,129.112655
라이프타운,35.21518327,129.1072773
조리마을,35.30076084,129.1122934
두구동경로당앞,35.30338261,129.1119917
선두구동행정복지센터,35.29804699,129.1125908
조리,35.30117784,129.1122549
조리경로당,35.30275342,129.1121047
임석삼거리,35.28853228,129.1093213
농협,35.29458167,129.1114117
임석,35.28865192,129.1094768
중리,35.29631697,129.1117563
다움병원,35.29485795,129.1113905
수반,35.29184573,129.1109861
범어사입구,35.27548045,129.0901227
어린이놀이터,35.27562268,129.0879279
남산동농협,35.27253197,129.0888994
남산성당,35.26373746,129.0850465
부산외국어대학교,35.26532156,129.0854013
부산과학고등학교,35.26411468,129.0851423
우성아파트12동,35.25694817,129.0852827
광명사,35.22966854,129.0767654
양로원,35.23125318,129.0766777
식물원,35.22714474,129.0777023
장전중학교,35.22758465,129.0787157
금성동주민센터,35.2500716,129.0568494
산성공해마을3동,35.24574138,129.0558341
공해부락,35.24430001,129.0557494
산성공해마을,35.24377623,129.0569814
장전동어린이놀이터,35.23812668,129.0863624
장전초등학교,35.24067912,129.0865473
금정산쌍용예가.구서SK뷰,35.24267282,129.0866278
천일아파트,35.26683496,129.0899092
성원아파트,35.26676879,129.0913909
남산동럭키아파트,35.26538653,129.0886249
탐앤탐스부산외대점,35.26712487,129.0879938
남산고등학교,35.26712987,129.0856151
남산고등학교입구,35.26779851,129.0892134
남산동새벽시장,35.26920566,129.0891925
남산초등학교,35.26172227,129.088023
남산동럭키아파트,35.26493554,129.0887829
선경3차아파트,35.25810276,129.0876294
남산119안전센터,35.26168751,129.0866648
두구동경로당앞,35.3034048,129.1118925
조리마을,35.30110778,129.1121007
조리,35.30117881,129.1120683
조리경로당,35.30275387,129.1119166
선두구동행정복지센터,35.29801943,129.1123345
영락공원,35.27400066,129.1031212
영락원,35.27236791,129.101353
금정도서관,35.27224161,129.0961687
남산고등학교,35.26692729,129.0856044
탐앤탐스부산외대점,35.26692234,129.0871975
남산고교,35.26705927,129.0840966
부산외국어대학교,35.26561353,129.0851624
부산외국어대학교정문,35.26640981,129.0845199
금샘초등학교,35.26941112,129.0853022
남산고교,35.26732424,129.0844168
남산동.요산문학관,35.27164921,129.0852697
한아름빌라,35.27448205,129.0851809
구서동,35.24670833,129.0904767
롯데캐슬정문,35.25263132,129.0876398
롯데캐슬입구,35.25093735,129.0876442
롯데캐슬정문,35.25273538,129.0876301
롯데캐슬입구,35.25102311,129.0876356
신동아아파트,35.25608807,129.087836
구서롯데캐슬,35.249385,129.0883433
구서역,35.24868333,129.0908583
이마트,35.24866458,129.0906235
구서역.구서시장,35.24694303,129.0887865
롯데캐슬입구,35.25093838,129.0878369
롯데캐슬정문,35.25263224,129.0878167
롯데캐슬,35.251015,129.0878442
롯데캐슬정문,35.25273638,129.0878334
서2동새마을금고,35.21385083,129.101743
초원마트,35.2135597,129.1010711
명장2동치안센터,35.21191324,129.1002313
동남아파트,35.21057317,129.1015693
협진아파트,35.20951729,129.1024169
장전중앙교회,35.23528615,129.0860355
현대아파트,35.23325769,129.0855148
부산대학교정문,35.23193029,129.0851576
장전역,35.23839881,129.0880262
(구)장전1치안센터,35.23570873,129.087483
금정세무서,35.22996522,129.0924836
협진태양맨션,35.2103309,129.1038496
금정초등학교,35.22598445,129.0858511
온천장역,35.22205183,129.0867548
래미안장전남문,35.22452193,129.0861019
부곡4동주민센터.온천장역,35.22064135,129.0883848
온천입구,35.21763083,129.0863312
동해중학교,35.21862737,129.0872838
금사시장,35.22108393,129.1134437
금사시장,35.2211622,129.1135027
파크랜드,35.21997826,129.1125054
파크랜드,35.21812249,129.113578
금사공단,35.21874797,129.1126146
금사중학교,35.21743352,129.1101048
구포삼거리,35.20084323,128.9920033
석불사입구,35.21519704,129.0441387
구포종점,35.20928,129.0007849
구포역,35.20670119,128.9966673
금곡주공7단지,35.256859,129.0141507
금곡종합사회복지관,35.2585571,129.0151224
금곡종합사회복지관,35.25864355,129.0151773
금곡주공7단지,35.2570927,129.0142729
금곡주공9단지,35.25493925,129.0136219
금곡주공4단지,35.25318892,129.0137684
금곡주공4단지,35.25310648,129.0137784
금곡주공9단지,35.25502275,129.0136228
금곡주공6단지,35.24956236,129.0144952
유림1차아파트,35.25128298,129.0140728
금곡주공5단지,35.25166774,129.0135278
금곡주공4단지,35.25339898,129.014005
금곡주공9단지,35.25496508,129.0138926
금곡주공4단지후문,35.25203147,129.0142111
금곡주공4단지,35.2535049,129.0139839
금곡주공9단지,35.2560614,129.0138918
낙동고등학교,35.21624623,129.0089275
롯데캐슬카이저남문,35.21896319,129.0089347
금곡중학교,35.2604749,129.0164753
금곡중학교,35.26034741,129.0164658
금곡종합사회복지관,35.25859442,129.0148256
금곡주공7단지,35.25678812,129.0138023
금곡종합사회복지관,35.25874813,129.0149238
금곡주공7단지,35.25687026,129.0138398
금곡주공3단지,35.26523256,129.0204371
금곡주공1단지,35.26702524,129.0196177
금곡주공3단지,35.26516957,129.0207225
금곡주공5단지,35.24943706,129.0141983
금곡주공6단지,35.24964559,129.0147405
유림1차아파트,35.25124825,129.0143465
북구보건소.인도네시아센터,35.24048371,129.013948
북구보건소,35.24073404,129.0138873
벽산아파트,35.24435092,129.0132596
벽산아파트,35.24450035,129.0132203
정화양로원,35.2436286,129.0196155
경남아파트,35.24176566,129.0154819
코오롱아파트,35.24417261,129.0216903
경남아파트,35.24180954,129.0157516
정화양로원,35.24368392,129.0197525
코오롱아파트,35.24414874,129.0214141
만덕2동행정복지센터,35.21038448,129.0380418
만덕삼성아파트.만덕역,35.21197275,129.0369607
백양상가,35.209,129.0374933
백양상가,35.20905246,129.0373832
백양디이스트아파트,35.20974979,129.0356458
부산은행,35.20964328,129.0367699
대성아파트입구,35.21042401,129.0349037
백양디이스트아파트,35.2095504,129.0356385
만덕도서관,35.20807833,129.0376603
만덕신협2동지점,35.20799475,129.0373637
백양디이스트401동,35.20824621,129.0366007
굿모닝힐401동,35.20810158,129.036092
